address,district,subsection,refuse,recycling,organics,bulk
"23-15 24 AVENUE Queens",401,1C,MTH,ETH,ETH,EM
"24-02 23 AVENUE Queens",401,1C,MTH,ETH,ETH,EM
"22-20 26 STREET Queens",401,1C,MTH,ETH,ETH,EM
"18-23 21 DRIVE Queens",401,1D,TF,EF,EF,ET
"21-63 SHORE BOULEVARD Queens",401,1D,TF,EF,EF,ET
"22-31 21 STREET Queens",401,1D,TF,EF,EF,ET
"25-07 DITMARS BOULEVARD Queens",401,1E,WS,ES,ES,EW
"20-76 29 STREET Queens",401,1E,WS,ES,ES,EW
"20-29 31 STREET Queens",401,1E,WS,ES,ES,EW
"21-46 36 STREET Queens",401,2C,MTH,ETH,ETH,EM
"41-04 20 AVENUE Queens",401,2C,MTH,ETH,ETH,EM
"20-46 32 STREET Queens",401,2C,MTH,ETH,ETH,EM
"23-64 37 STREET Queens",401,2D,TF,EF,EF,ET
"22-27 33 STREET Queens",401,2D,TF,EF,EF,ET
"22-46 38 STREET Queens",401,2D,TF,EF,EF,ET
"21-55 46 STREET Queens",401,2E,WS,ES,ES,EW
"19-35 75 STREET Queens",401,2E,WS,ES,ES,EW
"19-42 81 STREET Queens",401,2E,WS,ES,ES,EW
"26-23 CRESCENT STREET Queens",401,3C,MTH,EM,EM,ETH
"26-14 HOYT AVENUE SOUTH Queens",401,3C,MTH,EM,EM,ETH
"25-16 27 STREET Queens",401,3C,MTH,EM,EM,ETH
"30-76 CRESCENT STREET Queens",401,3D,TF,ET,ET,EF
"25-07 30 AVENUE Queens",401,3D,TF,ET,ET,EF
"25-11 31 AVENUE Queens",401,3D,TF,ET,ET,EF
"33-75 10 STREET Queens",401,3E,WS,EW,EW,ES
"25-14 33 AVENUE Queens",401,3E,WS,EW,EW,ES
"31-71 30 STREET Queens",401,3E,WS,EW,EW,ES
"32-83 38 STREET Queens",401,4C,MTH,EM,EM,ETH
"31-12 33 STREET Queens",401,4C,MTH,EM,EM,ETH
"32-41 35 STREET Queens",401,4C,MTH,EM,EM,ETH
"31-17 31 AVENUE Queens",401,4D,TF,ET,ET,EF
"30-75 37 STREET Queens",401,4D,TF,ET,ET,EF
"36-04 30 AVENUE Queens",401,4D,TF,ET,ET,EF
"25-58 37 STREET Queens",401,4E,WS,EW,EW,ES
"25-38 35 STREET Queens",401,4E,WS,EW,EW,ES
"25-80 35 STREET Queens",401,4E,WS,EW,EW,ES
"32-26 STEINWAY STREET Queens",401,4I,MWS,EM,EM,EWS
"30-65 STEINWAY STREET Queens",401,4I,MWS,EM,EM,EWS
"30-92 STEINWAY STREET Queens",401,4I,MWS,EM,EM,EWS
"25-59 STEINWAY STREET Queens",401,4P,MWS,EM,EM,EWS
"25-65 STEINWAY STREET Queens",401,4P,MWS,EM,EM,EWS
"25-51 STEINWAY STREET Queens",401,4P,MWS,EM,EM,EWS
"42-20 34 AVENUE Queens",401,5C,MTH,EM,EM,ETH
"32-18 46 STREET Queens",401,5C,MTH,EM,EM,ETH
"31-30 46 STREET Queens",401,5C,MTH,EM,EM,ETH
"49-13 31 AVENUE Queens",401,5D,TF,EF,EF,ET
"30-83 47 STREET Queens",401,5D,TF,EF,EF,ET
"30-20 49 STREET Queens",401,5D,TF,EF,EF,ET
"28-32 47 STREET Queens",401,5E,WS,EW,EW,EW
"25-90 43 STREET Queens",401,5E,WS,EW,EW,EW
"25-18 47 STREET Queens",401,5E,WS,EW,EW,EW
"13-11 40 AVENUE Queens",401,6C,MTH,ETH,ETH,EM
"32-10 38 AVENUE Queens",401,6C,MTH,ETH,ETH,EM
"35-47 38 STREET Queens",401,6C,MTH,ETH,ETH,EM
"10-09 36 AVENUE Queens",401,6D,TF,ET,ET,EF
"35-49 VERNON BOULEVARD Queens",401,6D,TF,ET,ET,EF
"35-32 9 STREET Queens",401,6D,TF,ET,ET,EF
"24-09 37 AVENUE Queens",401,6E,WS,ES,ES,EW
"37-27 27 STREET Queens",401,6E,WS,ES,ES,EW
"34-20 CRESCENT STREET Queens",401,6E,WS,ES,ES,EW
"42-18 64 STREET Queens",402,1C,MTH,EM,EM,EMTH
"42-20 64 STREET Queens",402,1C,MTH,EM,EM,EMTH
"34-35 64 STREET Queens",402,1C,MTH,EM,EM,EMTH
"43-12 65 STREET Queens",402,1D,TF,ET,ET,ETF
"42-40 65 STREET Queens",402,1D,TF,ET,ET,ETF
"70-59 45 AVENUE Queens",402,1D,TF,ET,ET,ETF
"48-38 58 LANE Queens",402,1E,WS,EW,EW,EWS
"51-04 65 STREET Queens",402,1E,WS,EW,EW,EWS
"48-37 63 STREET Queens",402,1E,WS,EW,EW,EWS
"44-74 23 STREET Queens",402,2A,MWF,EW,EW,EMWF
"21-11 45 AVENUE Queens",402,2A,MWF,EW,EW,EMWF
"21-28 45 AVENUE Queens",402,2A,MWF,EW,EW,EMWF
"43-12 56 STREET Queens",402,2C,MTH,ETH,ETH,EMTH
"53-22 37 ROAD Queens",402,2C,MTH,ETH,ETH,EMTH
"41-31 57 STREET Queens",402,2C,MTH,ETH,ETH,EMTH
"40-21 48 STREET Queens",402,2D,TF,EF,EF,ETF
"39-15 50 STREET Queens",402,2D,TF,EF,EF,ETF
"41-16 49 STREET Queens",402,2D,TF,EF,EF,ETF
"39-05 44 STREET Queens",402,2E,WS,ES,ES,EWS
"39-19 45 STREET Queens",402,2E,WS,ES,ES,EWS
"47-08 SKILLMAN AVENUE Queens",402,2E,WS,ES,ES,EWS
"10-28 49 AVENUE Queens",402,3B,TTHS,ET,ET,ETTHS
"11-29 47 AVENUE Queens",402,3B,TTHS,ET,ET,ETTHS
"21-13 46 AVENUE Queens",402,3B,TTHS,ET,ET,ETTHS
"51-23 46 STREET Queens",402,3C,MTH,ETH,ETH,EMTH
"50-13 48 STREET Queens",402,3C,MTH,ETH,ETH,EMTH
"48-51 48 STREET Queens",402,3C,MTH,ETH,ETH,EMTH
"50-69 42 STREET Queens",402,3D,TF,EF,EF,ETF
"43-05 51 AVENUE Queens",402,3D,TF,EF,EF,ETF
"45-27 43 STREET Queens",402,3D,TF,EF,EF,ETF
"47-16 39 STREET Queens",402,3E,WS,ES,ES,EWS
"50-52 40 STREET Queens",402,3E,WS,ES,ES,EWS
"45-33 40 STREET Queens",402,3E,WS,ES,ES,EWS
"105-07 27 AVENUE Queens",403,1C,MTH,ETH,ETH,EMTH
"110-17 NORTHERN BOULEVARD Queens",403,1C,MTH,ETH,ETH,EMTH
"107-07 ASTORIA BOULEVARD Queens",403,1C,MTH,ETH,ETH,EMTH
"25-68 83 STREET Queens",403,1D,TF,EF,EF,ETF
"87-19 30 AVENUE Queens",403,1D,TF,EF,EF,ETF
"22-12 94 STREET Queens",403,1D,TF,EF,EF,ETF
"32-09 75 STREET Queens",403,1E,WS,EW,EW,EWS
"72-09 31 AVENUE Queens",403,1E,WS,EW,EW,EWS
"30-52 74 STREET Queens",403,1E,WS,EW,EW,EWS
"34-46 72 STREET Queens",403,2C,MTH,ETH,ETH,EMTH
"34-52 72 STREET Queens",403,2C,MTH,ETH,ETH,EMTH
"35-35 LEVERICH STREET Queens",403,2C,MTH,ETH,ETH,EMTH
"37-30 79 STREET Queens",403,2D,TF,EF,EF,ETF
"34-50 83 STREET Queens",403,2D,TF,EF,EF,ETF
"33-37 83 STREET Queens",403,2D,TF,EF,EF,ETF
"35-45 87 STREET Queens",403,2E,WS,ES,ES,EWS
"35-17 89 STREET Queens",403,2E,WS,ES,ES,EWS
"35-17 90 STREET Queens",403,2E,WS,ES,ES,EWS
"104-46 39 AVENUE Queens",403,3C,MTH,EM,EM,EMTH
"35-17 105 STREET Queens",403,3C,MTH,EM,EM,EMTH
