building_id,borough,house_number,street,units,units_complete,
79,1,118,1 AVENUE,4,1,
89,1,1219,1 AVENUE,33,2,
160,1,1376,1 AVENUE,17,1,
179,1,1444,1 AVENUE,7,1,
181,1,1446,1 AVENUE,6,1,
195,1,1473,1 AVENUE,12,1,
248,1,158,1 AVENUE,11,11,
327,1,1729,1 AVENUE,39,2,
335,1,1744,1 AVENUE,10,1,
382,1,1952,1 AVENUE,306,1,
386,1,197,1 AVENUE,3,3,
390,1,199,1 AVENUE,3,3,
509,1,2310,1 AVENUE,8,1,
671,1,940,1 AVENUE,6,1,
807,1,127,2 AVENUE,22,1,
857,1,141,2 AVENUE,20,2,
878,1,145,2 AVENUE,24,1,
906,1,1496,2 AVENUE,8,1,
934,1,156,2 AVENUE,31,1,
1067,1,1772,2 AVENUE,13,1,
1182,1,2086,2 AVENUE,118,118,
1292,1,2305,2 AVENUE,24,24,
1298,1,2311,2 AVENUE,8,2,
1300,1,2315,2 AVENUE,9,1,
1303,1,2321,2 AVENUE,15,1,
1309,1,2328,2 AVENUE,3,1,
1336,1,2371,2 AVENUE,28,1,
1342,1,2405,2 AVENUE,10,2,
1343,1,2407,2 AVENUE,18,1,
1347,1,2415,2 AVENUE,9,9,
1633,1,981,2 AVENUE,5,5,
1839,1,1585,3 AVENUE,14,14,
1932,1,1904,3 AVENUE,12,1,
1934,1,1906,3 AVENUE,8,1,
1966,1,1968,3 AVENUE,18,1,
2097,1,2240,3 AVENUE,6,6,
2170,1,294,3 AVENUE,7,1,
2190,1,333,3 AVENUE,28,1,
2239,1,419,3 AVENUE,15,15,
2295,1,550,3 AVENUE,3,1,
2298,1,553,3 AVENUE,40,40,
2516,1,1274,5 AVENUE,54,1,
2520,1,1307,5 AVENUE,272,2,
2565,1,1461,5 AVENUE,8,1,
2628,1,2041,5 AVENUE,40,1,
2644,1,2074,5 AVENUE,4,1,
2652,1,2081,5 AVENUE,5,5,
2661,1,2,WEST 129 STREET,33,1,
2715,1,2300,5 AVENUE,257,1,
3370,1,1831,ADAM C POWELL BOULEVARD,49,49,
3376,1,1845,ADAM C POWELL BOULEVARD,24,1,
3384,1,1867,ADAM C POWELL BOULEVARD,34,1,
3390,1,1890,ADAM C POWELL BOULEVARD,28,1,
3393,1,1917,ADAM C POWELL BOULEVARD,31,31,
3401,1,1952,ADAM C POWELL BOULEVARD,16,1,
3431,1,2021,ADAM C POWELL BOULEVARD,9,2,
3432,1,201,WEST 121 STREET,23,23,
3432,1,2022,ADAM C POWELL BOULEVARD,23,1,
3441,1,2044,ADAM C POWELL BOULEVARD,30,1,
